bpm,activity
41,rest
197,rest
128,rest
3,rest
61,rest
87,rest
26,rest
123,rest
23,rest
116,rest
93,rest
141,rest
123,rest
151,rest
76,rest
144,rest
184,rest
155,rest
196,rest
196,rest
128,rest
173,rest
17,rest
31,rest
25,rest
163,rest
55,rest
179,rest
190,rest
120,rest
5,rest
83,rest
16,rest
109,rest
27,rest
88,rest
26,rest
148,rest
28,rest
144,rest
26,rest
23,rest
109,rest
25,rest
87,rest
26,rest
128,rest
27,rest
134,rest
25,rest
169,rest
140,rest
27,rest
102,rest
24,rest
105,rest
16,rest
18,rest
91,rest
26,rest
52,walk
131,walk
83,walk
131,walk
131,walk
54,walk
100,walk
185,walk
101,walk
184,walk
179,walk
103,walk
144,walk
173,walk
77,walk
94,walk
100,walk
116,walk
136,walk
140,walk
190,walk
190,walk
196,walk
189,walk
91,walk
155,walk
178,walk
125,walk
144,walk
189,walk
20,walk
103,walk
137,walk
28,walk
91,walk
23,walk
25,walk
148,walk
28,walk
88,walk
25,walk
22,walk
25,walk
121,walk
36,walk
22,walk
23,walk
134,walk
31,walk
22,walk
109,walk
81,walk
144,walk
44,walk
21,walk
39,walk
116,walk
80,walk
25,walk
29,walk
50,run
44,run
137,run
155,run
54,run
98,run
128,run
45,run
84,run
123,run
173,run
173,run
52,run
84,run
51,run
159,run
131,run
97,run
40,run
80,run
169,run
79,run
100,run
123,run
196,run
134,run
163,run
75,run
164,run
169,run
